body,created_at
$VEON - Veon Ltd ADR is way too risky over 90 days… https://www.macroaxis.com/stock-analysis/VEON/Veon-Ltd-ADR #insidertrading #stocks #fintechnews,2022-05-29T01:57:33Z
$VEON - Volatility alert: Veon options pin risk is increasing https://www.macroaxis.com/stock-options/VEON/Veon-Ltd-ADR?utm_source=dlvr.it&amp;utm_medium=stocktwits,2022-05-29T01:26:04Z
Short sale volume (not short interest) for $VEON on 2022-05-27 is 42%. http://shortvolumes.com/?t=VEON via @shortvolumes,2022-05-29T00:41:32Z
The Price/Earnings Ratio is 1.13, which indicates a rather cheap valuation of $VEON. https://www.chartmill.com/stock/analyzer/stock/VEON?view=fundamental-analysis&amp;key=445d9fe3-aee8-4c41-b367-0fa986377b57&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=VEON&amp;utm_campaign=social_tracking,2022-05-28T16:57:00Z
$VEON Zelensky is too stubborn to admit Russia has control over the regions they wanted. He should just let go and we&#39;ll see peace soon. Time Europe opens their eyes as well with their big shoutings that leads to nowhere. Rubel recovered and Putin selling his oil to China, Europe getting poorer and poorer, that&#39;s the reality and what I feel in my pockets when I go shopping. So just give up man and give those regions to Putin, he wins, accept it and we can move on again.,2022-05-28T12:01:51Z
$VEON What happened to that Melon guy? He has sure taken a beating on Shiba. He used to post his loses everyday while making fun of us!,2022-05-28T11:09:39Z
$VEON Nice to see, this is the volume returning that I had mentioned earlier this week.  All is going according to plan for larger move towards .60s again and possibly higher.,2022-05-28T02:01:35Z
$VEON go to $impp for short squeeze,2022-05-28T01:58:55Z
Compared to an average Enterprise Value to EBITDA ratio of 5.49, $VEON is valued rather cheaply. https://www.chartmill.com/stock/analyzer/stock/VEON?view=fundamental-analysis&amp;key=445d9fe3-aee8-4c41-b367-0fa986377b57&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=VEON&amp;utm_campaign=social_tracking,2022-05-28T00:35:00Z
$VEON $1 is imminent,2022-05-27T22:42:42Z
$POYYF $VEON $SBRCY I always like Gonzalo Lira&#39;s perspectives.  This video is a good one.  Bullish on this situation being resolved sooner than later!  https://www.youtube.com/watch?v=u8mOw_HMSy4,2022-05-27T21:44:27Z
$VEON 100 shares traded after hours and a two and a half percent drop seems super logical...,2022-05-27T20:07:45Z
How does this make you feel? $VEON enters an Uptrend as Momentum Indicator exceeded the 0 level on May 26, 2022. View odds for this and other indicators: https://srnk.us/go/3701290,2022-05-27T19:41:16Z
$VEON big green candles following little red dojis big red candles following little green dojis,2022-05-27T18:48:26Z
$VEON .58-.85-📈🧮🧮🧮🧮,2022-05-27T18:41:38Z
$VEON wen devi?,2022-05-27T18:40:56Z
$VEON only 23% of my portfolio, no biggie, hope it goes up but if not max Pain is 23%,2022-05-27T18:38:30Z
$VEON  
Good day here, I see vol stepped up a bit!!,2022-05-27T18:27:40Z
$VEON so I&#39;m slapping the ass but it won&#39;t tell me those two shares for .5165 they just keep giving them to me for 51 cents, does anybody know WTF that means?,2022-05-27T17:16:23Z
$VEON has the lowest P/FCF possible of 1.22. That indicates it&#39;s a great price to get in,2022-05-27T17:11:25Z
$VEON don&#39;t forget fam stop losses are for pussies,2022-05-27T17:07:30Z
$VEON Wow.  I didn&#39;t stick to my plan.  Not a huge deal in the schema of things, 53c vs 50c, but I felt we&#39;d see 50c again.  Huge stop loss hunting below 50.,2022-05-27T17:04:18Z
$VEON damn. That stop loss raid!,2022-05-27T16:54:16Z
$VEON not an easy fight. Less than 3k shares to drop 2 cents.,2022-05-27T16:38:45Z
$VEON FAM on another note I want to take the time to acknowledge all those who have served and are serving our great country, Especially those who made the ultimate sacrifice and gave their lives!! I had the honor to serve with many heroes and continue to serve with many. God be with all of the families who struggle during this memorial day and comfort them, God help those who have not yet realized that these men and women have blessed us with the very freedoms that come from you! No matter your politics and beliefs let us honor those who have come before us and have given us this amazing life in the greatest country in the history of mankind! GLTA &amp; God speed!,2022-05-27T16:29:46Z
$LUKOY $SBRCY $VEON $POYYF 

There is pressure on Ukraine to end the war, well it&#39;s also happening for Russia too. 

https://www.newsweek.com/russian-official-demands-putin-end-ukraine-war-invasion-escorted-out-meeting-1710770

Bullish for peace,2022-05-27T16:23:21Z
$VEON $NISN $VIVK $GLDG some hidden gems right here that can pay handsomely..but take heed.. much patience is needed.,2022-05-27T16:13:36Z
$VEON Amazing what a little volume will do FAM. Still a long hold for me, but I am glad to see more confidence being shown. I cannot wait till we are over $2 in the next year or so. This is a truly fantastic opportunity for those who will show the proper patience to make wealth. GLTA &amp; Godspeed!,2022-05-27T16:11:28Z
$POYYF what&#39;s a fella gotta do to get moving like $VEON,2022-05-27T16:07:30Z
$VEON no resistance till 60 cents we&#39;re f****** squeezing b******,2022-05-27T15:59:01Z
