body,created_at
$BEVVF new here. Holding long. This is a 💎,2021-08-19T02:56:19Z
$BEVVF 97,000 shares long. Still anticipating hitting the 100k,2021-08-17T23:04:27Z
$BEVVF Once they finish calculating yields we will get a good representation of how well the BVT program worked for the farmers. New deals on the horizon IMO. Looking for some respectable numbers,2021-08-17T19:23:46Z
$BEVVF 96 Watchers with a MC of 24.63 disrupting a potential 240B market...
With all the negative energy and damage caused by synthetic pesticides; we have a superior organic alternative that is just ready to erupt. Wonder what the share price will look like with 1000+ watchers.,2021-08-10T15:32:22Z
$BEVVF Bid is higher than the current share price....,2021-08-10T15:29:14Z
$BEVVF what happened..  Why the 15% jump over the weekend?,2021-08-09T10:33:46Z
$BEVVF Wake up,2021-08-02T14:10:29Z
$BEVVF Deals are coming. Load while cheap. BEE will be global in 2 years,2021-07-30T13:08:38Z
$BEVVF any of the 95 followers care to give any perspective on this speculative investment? I was contemplating averaging down at .20. Long term hold in IRA,2021-07-29T21:28:38Z
$BEVVF https://www.aginfo.net/report/50239/Fruit-Grower-Report/Bee-Vectoring-Technologies-Pt-1,2021-07-29T18:19:44Z
$BEVVF $BEE.CN Bidding .265 fill me,2021-07-27T16:16:23Z
$BEVVF Just bought 4k more. Really curious to see where my 24k shares stand in a year,2021-07-27T09:21:50Z
$BEVVF WAY TOOO CHEAP,2021-07-26T20:27:52Z
$BEVVF 
$BEVVF @ $0.22 is cheap
($BEE.CA @ $0.28)
5 year hold.,2021-07-20T18:38:35Z
$BEVVF Seems destine to .20,2021-07-20T17:17:23Z
$BEVVF https://m.youtube.com/watch?v=kPEPM5ivV6I&amp;feature=youtu.be,2021-07-13T21:18:09Z
$BEVVF https://www.newsfilecorp.com/redirect/OK2wfgAqm,2021-07-13T21:15:43Z
$BEVVF Bought top at .34 but I plan on holding this long time in my IRA. I can’t touch it for 20 years anyways. If it drops to .20 I’m going to average down. Another 5000 shares. Thoughts ?,2021-07-08T22:28:05Z
Bee Vectoring Technologies $BEVVF Announces First Revenues With Sunflower Growers

https://www.investorsobserver.com/news/stock-update/bee-vectoring-technologies-bevvf-announces-first-revenues-with-sunflower-growers,2021-07-08T15:14:08Z
Bee Vectoring Technologies Announces First-Time Revenues and Accelerated Momentum in US Sunflower Market https://conferencecalltranscripts.com/summary/?id=247593&amp;pr=true $BEVVF,2021-07-08T05:06:12Z
Bee Vectoring Technologies Appoints Mark W. Kohler to Board of Directors https://conferencecalltranscripts.com/summary/?id=237618&amp;pr=true $BEVVF,2021-06-18T12:01:11Z
$BEVVF always Bee yourself 🐝,2021-06-16T13:56:59Z
$BEVVF CEO is basically a chess master.  Every move this company makes only increases their market share.  Initial R&amp;D was done well, but done cheap.  Revenue growth is continuous.  Tech makes classic pesticides look like garbage.  Marketing and and focus on customer retention has been on point.  Expanding globally.  Hopefully they don&#39;t get bought out before we see the multi $billion market cap realized.,2021-06-15T03:12:05Z
$BEVVF You know what company deserves company grants and incentives? THIS ONE!
Ps. Fk Monsanto.,2021-06-11T18:08:23Z
$BEVVF Stock Rating Updated to Sell: Bee Vectoring Technologies International Inc.. Link to review &gt;&gt; https://www.ultraalgo.com/stock-tradi,2021-06-10T15:25:46Z
$BEVVF getting closer to real business  https://finance.yahoo.com/news/retransmission-bee-vectoring-technologies-announces-120000808.html,2021-05-28T08:13:57Z
$BEVVF 17k shares. hoping for .50 by EoY,2021-05-25T22:18:37Z
$BEVVF Bee article on ZeroHedge today 

https://www.zerohedge.com/personal-finance/who-let-bees-out,2021-05-22T22:17:06Z
$BEVVF World BEE day was generous on BVT today ;) Hope it continues!,2021-05-21T12:56:20Z
$BEVVF I’m considering investing in this. I’m in big on $BLONF and this seems just as exciting. Someone pitch me,2021-05-20T17:52:17Z
