body,created_at
Momentum Activity: $SBLK is the #8 ticker with momentum activity traded by institutions with options transaction volume 5.0x the average daily volume, a leading indicator of market movement.

Market analysis and options contracts included in screenshot of dashboard from 🔥 INSIDERFINANCE.IO 🔥 (Link in profile - @InsiderFinance),2022-05-11T01:05:06Z
$SBLK wish we had an active page for $OROVY - Orient Overseas,2022-05-11T00:04:03Z
Quality undervalued stocks like $MT, $SBLK and $X showing up in our Fundamental Piotroski F-score screen. https://www.chartmill.com/stock/stock-screener?sid=227&amp;f=sl_pio_7_X,v1_50b200,sl_pb_X_2,sl_val_6_X,exch_us&amp;v=14&amp;type=CANDLES&amp;o1=3&amp;op1=200,16711680&amp;timeframe=DAILY&amp;months=0&amp;o2=3&amp;op2=50,255&amp;width=720&amp;o3=1&amp;ia3=on&amp;cl=F&amp;nw=on&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_High_Piotroski_F-score_and_good_valuation&amp;utm_campaign=social_tracking,2022-05-11T00:02:00Z
$SBLK strong and steady in this environment with  a huge potential ahead,2022-05-10T23:39:56Z
$SBLK 20-May-22 Straddle Implies a ±9.2% move. May 11 2022 Annual General Meeting of the Shareholders https://tinyurl.com/yahlq9ox,2022-05-10T23:37:12Z
$SBLK Anyone know if the Greek government taxes SBLK dividends?,2022-05-10T21:48:39Z
Currently in $BGFV $GOGL $ZIM $SBLK for the sweet dividend. Anyone else have any bangers?,2022-05-10T20:09:35Z
@SweepCast Unusual Options Observed : $SBLK with our scanner on $32 CALL Expiring: 01/20/2023 worth 26K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-10T18:38:29Z
Momentum Activity: $SBLK is the #2 ticker with momentum activity traded by institutions with options transaction volume 5.0x the average daily volume, a leading indicator of market movement.

Market analysis and options contracts included in screenshot of dashboard from 🔥 INSIDERFINANCE.IO 🔥 (Link in profile - @InsiderFinance),2022-05-10T17:04:26Z
Synthetic Long Discount Alert: STAR BULK CARRIERS $SBLK trading at a 10.25% discount for the 19-Ja https://wp.me/p5bLGB-gwX9,2022-05-10T16:11:14Z
$SBLK “we went from inflation from on the mend to on the move”... NO SHIT SHERLOCK, on the move UP!,2022-05-10T16:01:36Z
$SBLK was analyzed by 16 analysts. The buy consensus is at 83%. So analysts seem to be very confident about $SBLK. https://www.chartmill.com/stock/quote/SBLK/analyst-ratings?utm_source=stocktwits&amp;utm_medium=ANALYST&amp;utm_content=SBLK&amp;utm_campaign=social_tracking,2022-05-10T15:20:00Z
$SBLK Baltic dry index up again today. 
 
https://tradingeconomics.com/commodity/baltic,2022-05-10T14:26:01Z
$SBLK my dick is throbbing,2022-05-10T14:21:41Z
$SBLK CHACHING,2022-05-10T13:34:18Z
$SBLK I expect dividend declaration next week. Then we ride.,2022-05-10T13:07:25Z
@SweepCast Unusual Options Observed : $SBLK with our scanner on $32 CALL Expiring: 01/20/2023 worth 26K🐂  All of these orders were Sweeps meaning multiexchange orders that takes on all liqudity from the options markets to fill them ⬅️ Still Don&#39;t Understand? @SweepCast - See Profile for More Info 🏆,2022-05-10T05:24:26Z
$SBLK $ZIM $NMM $GOGL here’s a better view.  Patience my fellow shipping investors.  Our big payday is gonna be coming for a while!  

P.S.- Oh btw, there’s also about 9 ships sitting in line to get into the LA port.,2022-05-10T00:06:29Z
$SBLK, all having great fundamentals while not too expensive. https://www.chartmill.com/stock/stock-screener?sid=204&amp;f=v1_50b500,p_pg20,sl_gr_4_X,sl_val_7_X,sl_he_5_X,sl_pr_5_X,exch_us&amp;s=val&amp;v=16&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Decent_Value_Stocks&amp;utm_campaign=social_tracking,2022-05-09T23:22:00Z
$SBLK I’m in again! Let’s roll into May earnings and dividends!,2022-05-09T22:38:07Z
$SBLK cruising out of LA today…I don’t know what you guys see, but I see a lot of money we just have to be patient to make!,2022-05-09T21:24:38Z
$SBLK tempted to go back in but scared for individual stocks right now lol,2022-05-09T20:36:18Z
$SBLK nothing is ever certain but I’m comfortable in this stock with days like today knowing dividends alone could pay off my original investment before the long term fundamentals shift to negative.,2022-05-09T18:56:30Z
$SBLK wouldn&#39;t it be smart to add in this dip for the Divvy,2022-05-09T18:27:19Z
$SBLK STOP FFS. This penny drop every second across the board is BULLLLSHIT!,2022-05-09T18:18:03Z
$SBLK 

Fundamentals say $40.  Market doesn&#39;t care.   Ridiculous but true.,2022-05-09T17:32:23Z
$SBLK 

ER May 24th,2022-05-09T17:31:28Z
$SBLK 🤣 what did you expect with zero debt structure?,2022-05-09T16:58:48Z
$SBLK $GOGL $GRIN

Unbelievable 🙄,2022-05-09T16:53:57Z
Good move or bad move? $SBLK&#39;s in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators: https://srnk.us/go/3648870,2022-05-09T16:25:00Z
