body,created_at
$IDKFF ThreeD Capital Inc. Acquires Securities of Bluesky Digital Assets Corp. https://www.otcdynamics.com/idkff-threed-capital-inc-acquires-securities-of-bluesky-digital-assets-corp-,2021-07-24T00:51:10Z
$IDKFF NEW ARTICLE : ThreeD Capital Inc. Acquires Securities of Bluesky Digital Assets Corp. https://www.stck.pro/news/IDKFF/14514941,2021-07-24T00:39:06Z
ThreeD Capital Inc. Acquires Securities of Bluesky Digital Assets Corp. https://conferencecalltranscripts.com/summary/?id=259128&amp;pr=true $IDKFF,2021-07-24T00:37:08Z
$PKKFF for fellow Canadian you can now buy $PKKFF and $IDKFF on Wealthsimple trade as of today 😀.,2021-07-23T21:28:17Z
$KYNC Puts the K in Kinky and this Kitty gets the job done!!!! 
$VBHI $TLSS $IDKFF $MDCN,2021-07-23T12:00:58Z
$IDKFF and $PKKFF sitting in a tree.....outstanding this sits flat, company buyback in full effect and massive ownership of PEAK.....craziness.,2021-07-22T14:29:09Z
$IDKFF ThreeD Capital Inc. Provides Update on Legal Action https://www.globenewswire.com/news-release/2021/07/22/2267024/0/en/ThreeD-Capital-Inc-Provides-Update-on-Legal-Action.html,2021-07-22T09:06:49Z
$IDKFF NEW ARTICLE : ThreeD Capital Inc. Provides Update on Legal Action https://www.stck.pro/news/IDKFF/14478100,2021-07-22T09:05:14Z
ThreeD Capital Inc. Provides Update on Legal Action https://conferencecalltranscripts.com/summary/?id=257773&amp;pr=true $IDKFF,2021-07-22T09:03:06Z
$IDKFF wow this thing is going opposite from $PKKFF sales are juicy.,2021-07-20T14:03:57Z
$PKKFF $3 end of month. $IDKFF &#39;s 5m + 5m PKKFF shares and warrants will be worth as much as IDKFF&#39;s market cap lol,2021-07-19T20:08:43Z
$PKKFF really liking my exposure to Peak through $IDKFF  right now, they own a healthy chunk.,2021-07-16T18:15:34Z
$IDKFF ThreeD Capital Inc. Completes $400,000 Investment into DeFi Yield Technologies Inc. https://www.otcdynamics.com/idkff-threed-capital-inc-completes-400000-investment-into-defi-yield-technologies-inc-,2021-07-16T12:15:33Z
ThreeD Capital Inc. Completes $400,000 Investment into DeFi Yield Technologies Inc. https://conferencecalltranscripts.com/summary/?id=254973&amp;pr=true $IDKFF,2021-07-16T12:03:08Z
$IDKFF [15s. delayed]: Issued Press Release on July 16, 08:00:00: ThreeD Capital Inc. Completes $400,000 Investment into DeFi Yield Techno https://s.flashalert.me/Pb0G4,2021-07-16T12:01:59Z
$IDKFF https://ceo.ca/@nasdaq/threed-capital-inc-announces-normal-course-issuer &quot;ThreeD is effecting the bid at this time as it believes that its common shares are undervalued at their current market prices and that the purchase of common shares would be a prudent use of funds.&quot;,2021-07-15T16:17:38Z
$IDKFF ThreeD Capital Inc. Announces Normal Course Issuer Bid https://www.otcdynamics.com/idkff-threed-capital-inc-announces-normal-course-issuer-bid,2021-07-15T09:47:42Z
$IDKFF NEW ARTICLE : ThreeD Capital Inc. Announces Normal Course Issuer Bid https://www.stck.pro/news/IDKFF/14317888,2021-07-15T09:35:07Z
ThreeD Capital Inc. Announces Normal Course Issuer Bid https://conferencecalltranscripts.com/summary/?id=251133&amp;pr=true $IDKFF,2021-07-15T09:33:07Z
$IDKFF my god, the most undervalued fund in the stock market?,2021-07-13T21:38:48Z
$IDKFF ThreeD Capital Inc. Announces Unaudited June 30, 2021 Net Asset Value Per Share - $1.06 https://www.otcdynamics.com/idkff-threed-capital-inc-announces-unaudited-june-30-2021-net-asset-value-per-share-1-06,2021-07-13T21:21:59Z
ThreeD Capital Inc. Announces Unaudited June 30, 2021 Net Asset Value Per Share - $1.06 https://conferencecalltranscripts.com/summary/?id=250263&amp;pr=true $IDKFF,2021-07-13T21:21:07Z
$IDKFF NEW ARTICLE : ThreeD Capital Inc. Announces Unaudited June 30, 2021 Net Asset Value Per Share - $1.06 https://www.stck.pro/news/IDKFF/14279897,2021-07-13T21:21:06Z
$IDKFF best deal in the market,2021-07-08T17:46:00Z
$IDKFF  Wish I had more dry powder to average down on this,2021-07-01T18:30:16Z
$IDKFF they are doing a buyback of shares. Echelon Wealth Partners is the broker that buys on behalf of IDK and they bought some 25k shares yesterday. IDK can buy approx 1m more shares based on the NR in July 2020 (see below). Very nice to see, should make the SP reach the NAV over the next couple of weeks.

https://threedcapital.com/threed-capital-inc-provides-update-to-its-investment-in-premium-nickel-resources-and-announces-normal-course-issuer-bid/,2021-06-23T05:39:21Z
$IDKFF ThreeD Capital Inc. Commences Trading on the OTCQX Market https://ca.finance.yahoo.com/news/threed-capital-inc-commences-trading-121700820.html,2021-06-21T12:41:24Z
$IDKFF NEW ARTICLE : ThreeD Capital Inc. Commences Trading on the OTCQX Market https://www.stck.pro/news/IDKFF/13754146,2021-06-21T12:21:06Z
ThreeD Capital Inc. Commences Trading on the OTCQX Market https://conferencecalltranscripts.com/summary/?id=238250&amp;pr=true $IDKFF,2021-06-21T12:20:07Z
$IDKFF OTC Markets Group Welcomes ThreeD Capital Inc. to OTCQX https://www.otcdynamics.com/idkff-otc-markets-group-welcomes-threed-capital-inc-to-otcqx,2021-06-21T11:31:22Z
